Número;Modelo;Série;CFOP;Emissão;Cliente;Valor;Status;Mensagem retorno;Chave NF-e;Impresso;Carta correção;
100067;99;RP1;5933;15/12/2025;consumidor final;130,00;Normal;;;Não;Não;
100066;99;RP1;5933;15/12/2025;consumidor final;195,00;Normal;;;Não;Não;
100065;99;RP1;5933;15/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100064;99;RP1;5933;15/12/2025;consumidor final;365,00;Normal;;;Não;Não;
100063;99;RP1;5933;15/12/2025;consumidor final;445,00;Normal;;;Não;Não;
100062;99;RP1;5933;15/12/2025;consumidor final;155,00;Normal;;;Não;Não;
100061;99;RP1;5933;15/12/2025;consumidor final;155,00;Normal;;;Não;Não;
100060;99;RP1;5933;15/12/2025;consumidor final;130,00;Normal;;;Não;Não;
100059;99;RP1;5933;15/12/2025;consumidor final;130,00;Normal;;;Não;Não;
100058;99;RP1;5933;15/12/2025;consumidor final;610,00;Normal;;;Não;Não;
100057;99;RP1;5933;15/12/2025;consumidor final;130,00;Normal;;;Não;Não;
100056;99;RP1;5933;15/12/2025;consumidor final;330,00;Normal;;;Não;Não;
100055;99;RP1;5933;15/12/2025;consumidor final;395,00;Normal;;;Não;Não;
100054;99;RP1;5933;15/12/2025;consumidor final;270,00;Normal;;;Não;Não;
100053;99;RP1;5933;15/12/2025;consumidor final;230,00;Normal;;;Não;Não;
100052;99;RP1;5933;15/12/2025;consumidor final;340,00;Normal;;;Não;Não;
100051;99;RP1;5933;15/12/2025;consumidor final;1.635,00;Normal;;;Não;Não;
100050;99;RP1;5933;15/12/2025;consumidor final;275,00;Normal;;;Não;Não;
100049;99;RP1;5933;15/12/2025;consumidor final;279,00;Normal;;;Não;Não;
100048;99;RP1;5933;15/12/2025;consumidor final;310,00;Normal;;;Não;Não;
100047;99;RP1;5933;15/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100046;99;RP1;5933;15/12/2025;consumidor final;365,00;Normal;;;Não;Não;
100045;99;RP1;5933;15/12/2025;consumidor final;210,00;Normal;;;Não;Não;
100044;99;RP1;5933;15/12/2025;consumidor final;200,00;Normal;;;Não;Não;
100043;99;RP1;5933;15/12/2025;consumidor final;230,00;Normal;;;Não;Não;
100042;99;RP1;5933;15/12/2025;consumidor final;200,00;Normal;;;Não;Não;
100041;99;RP1;5933;15/12/2025;consumidor final;130,00;Normal;;;Não;Não;
100040;99;RP1;5933;15/12/2025;consumidor final;545,00;Normal;;;Não;Não;
100039;99;RP1;5933;15/12/2025;consumidor final;310,00;Normal;;;Não;Não;
