OKR 1 - Interação e criação de conteúdo para as revendas;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Meta;Jan;Fev;Mar;Abril;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Meta;;;;;;;;;;
Conteúdos externos;1;3;1;1;2;1;1;1;1;1;1;1;Participar pelo menos de um conteúdo por mês. (Live, gravação de vídeos, encontros com revendas, aulão técnico, reuniões de video, etc).;;;;;;;;;;
Documentação EAD/Wiki;17;8;6;7;6;6;17;8;6*;3;11;1;Criar ou dar manutenção em pelo menos 6 documentações para wiki e/ou EAD por mês.;;;;;;;;;;
O não cumprimento de uma das duas metas mensais resulta na perda de -2 pontos, podendo chegar a -24 pontos totais no final do ano.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
OKR 2 - Satisfação e agilidade;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Meta;Jan;Fev;Mar;Abril;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Meta;;;;;;;;;;
NPS - Zona de Excelência;88%;87%;87%;88%;89%;87%;83%;89%;90%;90%;90%;92%;Alcançar NPS de 80% ou superior nos atendimentos de ticket/chats.;;;;;;;;;;
Tempo médio Chats;23min 37seg;23min 44seg;22min 33seg;23min 57seg;23min 18seg;24min;23min;23min 38seg;23m 31seg;23m 41seg;23m 04seg;21min 57seg;Ter um tempo médio de solução de chats inferior a 26min/mês.;;;;;;;;;;
O não cumprimento de uma das duas metas mensais resulta na perda de -2 pontos, podendo chegar a -24 pontos totais no final do ano.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Para garantir o PPR o setor deve manter pelo menos 70 pontos totais, onde a pontuação inicial em janeiro é de 100 pontos, podendo diminuir a cada mês em que as metas não forem alcançadas;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Pontos atuais: 96;;;;;;;;;;;;;;;;;;;;;;;
